Вакансия,Компания,Обязанности,Требования,Зар. плата,URL 
Data Scientist, MNFST,"Оценка популярности аккаунта в соцсети и стоимости постинга в аккаунте в рекламном контексте. Антифрод: анализ аномалий в поведении юзера, верификация...","Хорошая математическая подготовка в теорвере и матстате. Знание python + numpy, sklearn, pandas, keras, tensorflow, matplotlib, xgboost итп. ",до 300 000 руб.,https://hh.ru/vacancy/31248826?query=python
Старший системный администратор Linux, Юду,Сопровождение текущей инфраструктуры проектов. Настройка и поддержка мониторинга всех критичных систем. Поддержка системы резервного копирования. Подбор оборудования для реализации задач. ,"Отличное владение Linux инструментами администрирования системы. Умение писать на скриптовых языках (Python, Shell). Опыт работы с виртуализацией на базе KVM. ",Не указано,https://hh.ru/vacancy/31067655?query=python
Senior PHP BackEnd/Frontend разработчик,ИП Дубовицкая Светлана Владимировна,Разработка системных программ и взаимодействующих с ними модулей для ядра Linux Ubuntu; Php; Yii2. Разработка PHP Front-End приложений. ,"...и соблюдения их), декомпозиции и приоритезирования. Знание Python. Опыт администрирования сервера на Linux (UBUNTU). Опыт вызова Python кода из PHP.",120 000-180 000 руб.,https://hh.ru/vacancy/31203565?query=python
Data-Scientist, Weborama Russia,Участие в разработке сценариев применения Data Science для заказчиков. Формулировка и проверка гипотез. Предобработка данных. Кластеризация пользователей. Построение скоринговых моделей. ,"Уверенное знание математической статистики и теории вероятностей. Знание python на уровне библиотек по работе с данными (pandas, numpy, sciPy и...",Не указано,https://hh.ru/vacancy/31155713?query=python
Младший программист-разработчик (junior programmer/developer),ООО РДП.РУ,,"Уверенное владение одним из языков программирования: C/C++ (приоритет), Python, Rust, Go/Golang, Ruby, Assembler. Просим дать ссылку на свой...",от 80 000 руб.,https://hh.ru/vacancy/30637340?query=python
QA-инженер,ООО ЧЕСТНОЕ СЛОВО,Ручное (в приоритете) и автоматизированное тестирование системы. Выявление дефектов ПО. Разработка планов тестирования и подготовка тест-кейсов. Составление отчетов об...,"PHP (понимание кода) – как плюс. JAVA (написание тестов), Python (написание тестов), JS (написание тестов). Git Bash. Docker. Навыки DevOps. ",от 140 000 руб.,https://hh.ru/vacancy/31044683?query=python
Специалист по автоматизированному тестированию/QA automation engineer,ООО ТОП КЕЙС,"Анализ требований. Настройка тестового окружения. Разработка тест-кейсов для автоматизированных тестов. Разработка фреймворка автоматизации. Разработка и отладка автоматизированных тестов, тестовых...","Опыт работы в тестировании от 1 года. Практический опыт разработки автоматизированных тестов (Java, Python, bash, JScript). Опыт разработки тестов для...",Не указано,https://hh.ru/vacancy/30475694?query=python
Frontend-разработчик,ООО НТБ,Представление об архитектуре веб-приложений и уязвимость в них. Возможность самостоятельно определять план текущих задач (в рамках общего плана работ). ,Умение работать в команде. Будет плюсом: Базовые знания Python ( хорошие знания крайне сильно приветствуются). Умение разбираться в чужом коде. ,Не указано,https://hh.ru/vacancy/30858935?query=python
Разработчик Java / специалист по интеграции, ТРИНИТИ,Реализация интеграции внедряемого продукта (Campaign Management) с системами заказчика и каналами контактирования. Разработка модулей на JAVA. Участие в технической поддержке...,"Требуемый опыт работы: 3-5 лет. Опыт проектирования/разработки и оптимизации на JAVA от 3 лет. Базовые знания SQL, как...",Не указано,https://hh.ru/vacancy/31040446?query=python
C++ developer (embedded Linux), IVIDEON,"Разрабатываем продукты на базе мобильных ОС. Встраивать поддержку сервиса Ivideon в прошивки оборудования видеонаблюдения (IP камеры, DVR и т. ","Интегрируемся с различными одноплатными компьютерами от Raspberry Pi до специализированного железа оут Paxton и многое другое. Хорошее знание C++, опыт...",120 000-170 000 руб.,https://hh.ru/vacancy/31194017?query=python
Системный администратор / DevOps,ООО Группа ФОМ / Фонд Общественное Мнение,"Поиска неисправностей в тестовой и боевой инфраструктуре и их устранение. Взаимодействия со всеми участниками процесса разработки, тестирования и эксплуатации. ","Знания в области работы с Docker контейнерами. Знание скриптовых языков (Bash, Python). Опыт работы с системами контроля версий (Git). ",Не указано,https://hh.ru/vacancy/31227592?query=python
Ведущий разработчик / Senior Developer, DM Basis,"Участвовать в проектах разработки backend сложных CRM-систем. Анализировать исходные требования заказчиков, проводить оценку трудозатрат. Участвовать в перекрестном Code Review...",Знать основные паттерны проектирования. Знать MSSQL и PostgreSQL. Знать Python на базовом уровне. Иметь высшее техническое образование. Владеть английским на...,от 180 000 руб.,https://hh.ru/vacancy/31074694?query=python
Ассистент ведущего программиста / Ведущий программист,ООО КОНВЕЛС Автоматизация,"Управление проектами по разработке и внедрению программного обеспечения. Координация проектной команды (штатные и внештатные инженеры и разработчики, тестировщики и пр...","Высшее техническое образование. Практические знания основ программирования С, Python или LabView. Хороший уровень технического английского. Способность к быстрому самообучению. ",от 57 800 руб.,https://hh.ru/vacancy/31079712?query=python
Front-end разработчик (React), Comagic,Создание библиотеки компонентов. Тестов. Документации. Перевод существующих приложений на новую архитектуру.,"Мышление исходя из позиции ""Честно и выигрышно для всех заинтересованных сторон"". Знание SQL. Знание Python. Ведение разработки через тестирование (TDD). ",от 160 000 руб.,https://hh.ru/vacancy/30694029?query=python
Ведущий тестировщик, Zelax,Тестирование программного обеспечения. Организация тестирования программного обеспечения. Документирование тестирования программного обеспечения.,"Опыт установки и настройки ОС Linux – от 2 лет. Знание python, shell. Уверенное владение инструментами организации тестирования – багтрекеры, инструменты для...",от 100 000 руб.,https://hh.ru/vacancy/30967902?query=python
Data Analyst (aidata product),ООО Айтаргет,"Взаимодействие с командой разработчиков, участие в создании и развитии продуктов компании с использованием больших данных и Data Science. ","Понимание алгоритмов машинного обучения, статистического анализа. Опыт работы с данными, используя инструменты Python: pandas, numpy, scikit-learn, matplotlib. ",Не указано,https://hh.ru/vacancy/30930366?query=python
PHP разработчик (Symfony),ООО Вебхост,"WebHOST1 — хостинг-провайдер. Фронт работы: В задачи входит разработка/обновление сайта, панели управления и сопутствующих инструментов. Сайт с системой...","С чем будете работать: - Уверенное знание PHP 7 (ООП, PSR, и т.д.). - Опыт работы с PSR-7 фреймворками (используем...",90 000-120 000 руб.,https://hh.ru/vacancy/31217641?query=python
Архитектор информационных систем (разработка)/Разработчик devops, Angara Technologies Group,систем мониторинга (Zabbix). - систем контроля версий (Git/Gitlab). Участие в разработке новых сервисов в составе проектной команды. Выявление ошибок и...,"хотя бы одного из интерпретируемых языков ( Python, Ruby,Shell, Powershell). - систем хранения, обработки и поиска «больших данных» (ELK). ",Не указано,https://hh.ru/vacancy/31063138?query=python
Системный аналитик,АО Мегаполис,"Разработка требований к программному обеспечению (desktop, mobile, tablet). Прототипирование, постановка задач дизайнерам. Постановка задач разработчикам. Проведение обследований. Согласование требований с...",Будем плюсом опыт работы в сфере транспорта. Желательно умение программировать (Python). Желательны навыки подготовки презентаций. Желателен опыт разработки UX. ,Не указано,https://hh.ru/vacancy/31039717?query=python
Программист / Разработчик С++,ЗАО АСТ,НЕОБХОДИМО:,Опыт коллективной разработки приложений (SVN/Mercirial/GIT). Будет преимуществом: Знание языка Python. Знание языка SQL и опыт работы с СУБД.,до 150 000 руб.,https://hh.ru/vacancy/30833297?query=python
PHP-разработчик,ООО КРИПТОН,"Разработка, внедрение и совершенствование модулей платежной системы для различных систем управления контентом (CMS). Прямое взаимодействие с менеджерами отдела продаж, а...","PHP 5-7/JavaScript/HTML – опыт от двух лет. Знание других скриптовых языков (Python, Perl, Ruby будет плюсом). ",Не указано,https://hh.ru/vacancy/31119953?query=python
Программист С++,ООО Иновентика технолоджес,"Разработка высокопроизводительных многопоточных приложений под ОС семейства Linux. Доработка и оптимизация существующих программных решений компании на C, C++. ","Знание языков программирования: PHP, JavaScript. Знание скриптовых языков программирования: bash, python, awk. Опыт программирования сетевых адаптеров (СА). Опыт программирования СА...",Не указано,https://hh.ru/vacancy/31017051?query=python
Аналитик (игры), Crazy Panda,"Поиск аномалий в показателях игр, изучение их причин. Проведение исследований (пример: определить влияние игрового нововведения на LTV). Data Science, который...",Способность самостоятельно работать с данными от составления запроса (SQL) до очистки и визуализации (Python). Владение методиками анализа данных с помощью...,Не указано,https://hh.ru/vacancy/29808769?query=python
Программист,АО ИНТЕРСЕТЬ,Backend разработка систем мониторинга и сбора информации. Сопровождение существующего десктопного и серверного программного обеспечения.,"Неполное высшее/высшее образование. Знание языка Python 3. Знание основ C++(Qt), JS. Знание PostgeSQL/MySQL. Знание стека TCP/IP. ",50 000-120 000 руб.,https://hh.ru/vacancy/30960840?query=python
Инженер по автоматизированному тестированию (Python), Аплана Софтвер,Разработка автоматизированных сценариев для Web и Gui части модуля SAP HR.,Высшее техническое образование (будет являться преимуществом). Практический опыт автоматизации тестирования на языке python от 6 мес. Опыт работы с GitHub...,Не указано,https://hh.ru/vacancy/30738580?query=python
Middle iOS specialist, Anchous Drive Recruitment,"Мы помогаем банкам, людям, провайдерам услуг быстро и безопасно отслеживать, совершать и принимать платежи за ЖКХ, мобильную связь, Интернет, телевидение...","Заинтересован учиться и передавать знания, коллаборативный и командный. — Ты коммуникабелен, любишь обсуждать текущие проблемы, искать (и находить!) максимально эффективное решение...",до 200 000 руб.,https://hh.ru/vacancy/31233019?query=python
Системный администратор/DevOps (Linux), Интернет-агентство BINN,"Инсталляция, настройка и администрирование серверов под управлением Linux, а также дополнительного серверного ПО. Мониторинг работы программного и аппаратного обеспечения и...","Опыт работы с системой мониторинга Zabbix. Опыт написание скриптов shell/python/php/ruby. Усидчивость, внимательность, самостоятельность. Умение работать в команде. ",от 90 000 руб.,https://hh.ru/vacancy/28128757?query=python
Software Engineer (C++ Build System), NetworkOptix,"Maintain artifact build/sync system (currently Python-based in-house tool). Support distribution package building (MSI/WixSetup, DEB, etc.). ","MacOS administration skills (knowing differences from Linux). Expert Python knowledge, including Python 3. Expert C++ knowledge: SFINAE, atomics, C++17...",от 4 000 USD,https://hh.ru/vacancy/29056936?query=python
Инженер по внедрению и сопровождению ПО, АМТ-ГРУП,"Участие во внедрении и сопровождении информационных систем и программных продуктов. ∙ Проведение пуско-наладочных работ, инсталляция и настройка операционных систем, сетевой...",Опыт конфигурирования JVM-приложений. Опыт работы с Jira или подобной системой. Опыт администрирования ОС Windows Server. Знание Python и/или...,от 138 000 руб.,https://hh.ru/vacancy/30886072?query=python
Системный инженер,ООО Спринт,Разработка технических решений для текущих и перспективных задач компании. Обеспечение непрерывности услуг. Поддержка высоконагруженных телекоммуникационных платформ. Проведение экспертной оценки схем...,"Умение автоматизировать свою работу через написание скриптов (sh‚ Perl‚ Python). Опыт работы с SQL БД (Oracle, PostgreSQL, MySQL). ",90 000-100 000 руб.,https://hh.ru/vacancy/31074519?query=python
Младший компьютерный лингвист (Python), Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,Разработкой и сопровождением экономических информационных систем. Программирование машинно-лингвистических приложений на языке Python. Обработка больших массивов данных с использованием технологий...,Языка программирования Python. Технологий и принципов машинной лингвистики и машинного обучения. Операционной системы Linux. Основ информационной безопасности. Знакомство с лингвистическими...,от 120 000 руб.,https://hh.ru/vacancy/31240083?query=python
"Младший разработчик веб-скрейперов (Python, Selenium)", Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,Сбором и анализом данных из разнообразных источников. Построением отраслевых и межотраслевых экономических моделей. Разработкой и сопровождением экономических информационных систем. ,"Пакета Selenium. Языка программирования Python. Языка запросов SQL и принципов организации реляционных СУБД. Основ JavaScript, DOM, HTML, CSS, XPath. ",80 000-100 000 руб.,https://hh.ru/vacancy/31240024?query=python
Data Engineer, Uchi.ru,"Участие в проектах по автоматизации сбора и анализа данных из различных источников. *Обработка и парсинг ""сырых"" данных. *Обеспечение процесса ETL...","Консоль Linux. *Опыт разработки ETL процессов на Python - предпочтительно Luigi, Airflow. *Git. *Опыт работы с очередями - Kafka, RabbitMQ и т...",Не указано,https://hh.ru/vacancy/31163222?query=python
Консультант/Инженер по внедрению ПО, DIS Group,"Интеграции, синхронизации, миграции данных, построению и загрузке хранилищ данных. Обеспечения качества данных. Построения единых клиентских/продуктовых справочников. Управления тестовыми средами...","...и структур данных, работа с реляционными и не-реляционными данными, опыт разработки многопоточных приложений). Знание Python. Знание NoSQL баз данных.",Не указано,https://hh.ru/vacancy/30890301?query=python
"Ведущий разработчик/Разработчик С++ (Back-end, CCTV/решения видеонаблюдения)", Netris,"Мы разрабатываем комплексные решения видеонаблюдения и цифрового телевидения (Streaming Video): получение, обработка в режиме реального времени контента любого формата, полученного...","Опыт разработки сетевых приложений. Опыт работы с Python, CMake, Git, Jenkins. Опыт работы с базами данных: MySQL, Oracle, Postgres или...",Не указано,https://hh.ru/vacancy/30852880?query=python
Java-разработчик, Ассоциация ФинТех,Разработка приложений Java. Поддержка существующих приложений на платформе. Ведение командной разработки. Участие в принятии архитектурных и технических решений в платформе...,"Желательно: Способность использовать код на Go, Node.js, Python. Умение отличить децентрализованную систему от распределённой. Опыт работы по итеративной и каскадной...",200 000-250 000 руб.,https://hh.ru/vacancy/31020588?query=python
Инженер VoIP,ООО НСТТ,Сопровождение проекта в части развертывания и последующей эксплуатации узлов связи компании на территории РФ в качестве инженера VoIP. ,"Опыт взаимодействия с присоединяющими операторами телефонии (SIP, E1) по техническим вопросам. Навыки работы в Linux, опыт использования Bash, Python.",от 80 000 руб.,https://hh.ru/vacancy/31229522?query=python
Senior Product Analyst, Qlean Labs,"Вместе с руководителем продукта решить, какие продуктовые данные нам надо собирать и анализировать. Вместе с архитектором определять требования к системе...",Умения писать сложные SQL-запросы. Готовности к работе с данными из разных источников вручную. Опыт программирования. Python / R / Matlab. ,Не указано,https://hh.ru/vacancy/31231960?query=python
Release Engineer (ABFX), Deutsche Bank Technology Center,Providing AutobahnFX development teams with UAT environments for release preparation purposes. Troubleshoot issues on principal UAT environment aiming at full...,Good knowledge of SQL and Unix. Development experience - Python or Java. Spoken and written English - intermediate level or above. ,от 180 000 руб.,https://hh.ru/vacancy/31033986?query=python
SQA Engineer Ticker Plant, CQG,"Автоматизация тестирования. Разработка авто-тестов. Создание тест-планов по требованиям, техническим спецификациям и другой документации. Выполнение тест-кейсов по процессу...","Опыт программирования, умение писать скрипты и автоматизировать тесты (Python, shell). Высшее техническое образование. Знание английского языка (как минимум базовый уровень...",Не указано,https://hh.ru/vacancy/30822514?query=python
PHP-разработчик (Full Stack), Издательский дом Первое сентября,Разработка новых образовательных проектов. Поддержка и развитие существующих интернет-проектов компании.,"...приложений, работы по обеспечению отказоустойчивости и безопасности программного кода. Знание React, WebPack, ElasticSearch, Python. Опыт работы с e-commers системами.",110 000-130 000 руб.,https://hh.ru/vacancy/30995450?query=python
Программист (системная интеграция),ООО Смарт Энджинс Сервис,Прием на работу проводится по результатам очного собеседования и выполнения тестового задания (формулируется на собеседовании).,Умение работать с инструментами отладки и профилирования. Желательно: Владение Python. Владение фреймворком Qt (С++). Опыт мобильной разработки (iOS/Android). ,от 100 000 руб.,https://hh.ru/vacancy/30933737?query=python
Front-end разработчик, YCLIENTS LLC,Front-end разработчик (middle). Мы ищем middle-разработчика в команду front-end который бы смог развивать существующие приложения и участвовать...,"...react native/nativescript/flutter. Опыт написания тестов для JavaScript-кода. Базовое владение одним из высокоуровневых языков: с++, java, python, go.",130 000-150 000 руб.,https://hh.ru/vacancy/30998494?query=python
Junior IT specialist, Renaissance Capital,"Actively learn & participate in day-to-day activities of the Team! Wide range of interesting tasks in different areas, possibility...",Knowledge of scripting skills - Linux / Python / Bash + Python or data processing scripts are highly valued. WILL BE GREAT IF...,Не указано,https://hh.ru/vacancy/31064160?query=python
DevOps инженер,ООО Инсейлс Рус,"Улучшать текущую конфигурацию платформы, продолжать внедрять Kubernetes. Обеспечивать стабильность работы платформы, в том числе реагировать на критичные ночные инциденты. ","Опыт работы с Kubernetes. Опыт разработки на одном из языков: Ruby, Python или Go. Вы знакомы с книгой Google SRE.",100 000-160 000 руб.,https://hh.ru/vacancy/31166007?query=python
DevOps-инженер, Lenvendo,"Поддержка и развитие интернет-проектов. Обеспечение бесперебойной работы инфраструктуры и сервисов. Анализ инцидентов, оценка архитектурных решений, ввод изменений с целью...","Отличные знания ОС Linuх, общесистемного ПО и веб-стека (Nginx, PHP/Python, HAProxy, MySQL/PostgreSQL, Memcached, Redis, RabbitMQ, ELK). ",100 000-200 000 руб.,https://hh.ru/vacancy/30854133?query=python
Тестировщик программного обеспечения, Адалиск,Ручное и автоматизированное тестирование приложений и сервисов. Подготовка и выполнение тест кейсов. Подготовка сопутствующей документации (на английском языке).,"Опыт работы с виртуальными машинами. Опыт настройки, поддержания систем непрерывной интеграции. Опыт автоматизации тестирования. Знание языка Python. Навыки работы в...",70 000-110 000 руб.,https://hh.ru/vacancy/30963278?query=python
Principal Solution Architect for Imunify Security, Cloud Linux,Research new software technology concepts and tools to make informed recommendations. Resolve software architecture conflicts. Take ownership of application health...,"Advanced knowledge and experience in one or more of the following languages: Python, C, Golang, JavaScript, PHP. Excellent knowledge of...",Не указано,https://hh.ru/vacancy/30981084?query=python
Инженер внедрения и сопровождения,ООО Фаззи Лоджик Лабс,"Установка и настройка программного обеспечения на тестовых и продуктовых средах. Решение технических проблем внедряемого приложения, как на площадке заказчика, так...","Знание одного из скриптовых языков, например: python, bash scripting, и др. Будет преимуществом опыт работы с распределёнными высоко-нагруженными системами...",Не указано,https://hh.ru/vacancy/30709415?query=python
Lead QA Auto Engineer/Perfomance, LLC ICONIC,"Создание системы тестирования с нуля для ядра биржи, обслуживающего нагрузку, соизмеримую 100К запросам с временем отклика порядка 10 микросекунд. ","Уверенные навыки программирования (Python, Java или др.). Уверенный пользователь linux, git, docker. Опыт автоматизации тестирования серверных компонентов систем. ",Не указано,https://hh.ru/vacancy/30873665?query=python
Инженер DevOps,ООО Инфракод,"Реализация новых проектов с Openshift/OKD/Kubernetes для наших клиентов. - Участие в трансформации процессов заказчиков, реализация подходов DevOps. - ","Умение обращаться с системами мониторинга (Prometheus, Grafana) и логирования (ElasticSearch + Fluentd + Kibana). - Владение bash/python. - Опыт создания интеграционных...",180 000-230 000 руб.,https://hh.ru/vacancy/30857083?query=python
Младший аналитик (игры), Crazy Panda,"Искать возможности по улучшению и оптимизации текущего функционала. Вести АБ-тесты, от формирования гипотезы до проверки результатов. Придумывать и прорабатывать...",Оконченное высшее образование. Знание основ программирования на Python. Высшее техническое\математическое образование. Понимание методов машинного обучения. Знание различных вариантов монетизации...,Не указано,https://hh.ru/vacancy/29719375?query=python
Senior/middle backend (full stack) developer,ИП Атаманюк Вероника Игоревна,"Мы используем методологию lean startup. У нас выстроены процессы на базе скрама – еженедельные спринты, дейли-синхроны, ретроспективы. Каждые две недели...","Опыт выстраивания инженерных процессов будет плюсом. С чем предстоит работать. Наша платформа сделана с использованием Python (Flask), JS (React, Redux...",140 000-180 000 руб.,https://hh.ru/vacancy/31101295?query=python
Инженер-программист, ИБРАЭ РАН,Разработка ПО на C++/Qt с графическим интерфейсом пользователя. Разработка плагинов для QGIS на Python. Доработка различных частей существующего кода. ,Опыт написания запросов SQL. Опыт программирования на Python. Английский язык на уровне чтения технической документации. Умение работать с чужим кодом. ,Не указано,https://hh.ru/vacancy/30921517?query=python
Разработчик бизнес-решений (NET C#), DIRECTUM,Проектированием и разработкой новых бизнес-модулей облачной СЭД DirectumRX. Развитием и оптимизацией работы текущих модулей системы. Разработкой и развитием коннекторов...,"Опыт разработки на C#, либо на С/С++/Delphi/другом языке и представление о .NET. Опыт работы с реляционными СУБД. ",Не указано,https://hh.ru/vacancy/30920934?query=python
Системный администратор Linux,ООО МАКСИБУКИНГ,"Участие в разработке и развертывании высоконагруженных сервисов. Администрирование серверов под управлением Ubuntu, Amazon Linux. Настройка и поддержка: Балансировщиков нагрузки. ",Умение писать код на Bash (Python приветствуется). Английский язык на уровне чтения технической литературы. Желательно: Опыт работы с docker и...,от 100 000 руб.,https://hh.ru/vacancy/30922796?query=python
Инженер по тестированию,ООО ОсноваЛаб,"Участвовать в проектах по созданию, обновлению и дальнейшему сопровождению сервисов в роли старшего тестировщика. Планировать и проводить тестирование сервисов с...",Опыт функционального и стресс тестирования распределенных решений. Знание основ ООП и базовых библиотек Python. Знание сотовых технологий и VoIP. ,Не указано,https://hh.ru/vacancy/29946182?query=python
Инженер технической поддержки (Английский язык),ООО НТ Прогресс,"Работа с клиентскими обращениями, прием обращений по телефону/почте. Ручное тестирование продукта. Составление тест планов, осуществление приемки продукта от разработчиков. ",Приветствуется опыт поддержки первой линии. Приветствуются базовые знания в разработке ПО (C++/Python). Приветствуются базовые знания в администрировании Linux. ,Не указано,https://hh.ru/vacancy/31062156?query=python
Data Analyst/Computer Vision Engineer,ООО СКАЙТРЭК,"Определение заблюренности изображений (blurred image classification). Улучшение существующих алгоритмов классификации изображений, детекции объектов на изображении, сегментации изображений и т.д. ",...библиотеки на Python. Опыт или навыки обучения алгоритмов ML (в большинстве своем нейронных сетей) применительно к изображениям. Владение Python в...,от 150 000 руб.,https://hh.ru/vacancy/30901589?query=python
Вирусный аналитик/реверс-инженер (reverse engineer),ЗАО АСТ,Анализировать безопасность протоколов и программного обеспечения. Разрабатывать средства проверки защищенности и концептов имитации атак. Разрабатывать программное обеспечение на C/C++. ,Опыт разработки концептов и прототипирование на Python. Знание assembler x86/64. Приветствуется опыт анализа уязвимостей программного обеспечения и исследование...,до 300 000 руб.,https://hh.ru/vacancy/31017848?query=python
DevOps Инженер (Junior), МФТИ ГУ,"автоматизация деплоя компонентов библиотеки с открытым кодом DeepPavlov в инфраструктуре проекта. - администрирование инфраструктуры проекта (Kubernetes, Docker, 2 x NVIDIA DGX). - ","знакомство с любым веб-фреймворком для Python (Flask, Django, …). - опыт работы с системами контроля версий (мы используем git). - ",100 000-130 000 руб.,https://hh.ru/vacancy/31099027?query=python
Аналитик данных, ФГБОУ ВО МПГУ,"Сбор и подготовка данных к анализу (внутренние и внешние БД, csv, excel) Проведение статистического анализа данных. Проведение анализа и построение...","Наличие сертификатов в области машинного обучения, науки о данных, математической статистики, программирования на Python (например, сертификаты от Coursera, edX, Udacity...",100 000-130 000 руб.,https://hh.ru/vacancy/31110987?query=python
Ведущий инженер-тестировщик (Senior QA Engineer), Вокорд,"С 1999 года Вокорд производит уникальное высокотехнологичное оборудование и разрабатывает программное обеспечение для систем распознавания лиц, распознавания номеров, видеонаблюдения и...","По сути владение хоть каким-то языком программирования (скриптовым - powershell, python, ну или C#) на уровне решения небольших задач и...",100 000-150 000 руб.,https://hh.ru/vacancy/30861191?query=python
Аналитик - разработчик BI,ООО ИнфоНет Мобил,"Сбор, систематизация, анализ, формализация и согласование требований клиентов. Разработка технических заданий на основе требований клиента. Исследование и статистический анализ данных...",...способы визуализации данных. Инициативность и ответственность за результат. Является преимуществом: Опыт администрирования Qlik Sense server и Nprinting Server . Знание Python.,от 120 000 руб.,https://hh.ru/vacancy/30959618?query=python
"Инженер по автоматизированному тестированию мобильных приложений (видеонаблюдение/Android, iOS)", Netris,"Разработка и поддержка инструментария автоматического тестирования. Разработка и реализация сценариев тестирования. Автоматизированное тестирование мобильных приложений (Android, iOS, Axway Titanium). ","Уверенное знание одного или нескольких языков: Java 8, JavaScript (ES2015), Python. Базовые знания UNIX, опыт работы с Bash. ",Не указано,https://hh.ru/vacancy/31165851?query=python
QA Engineer/Инженер по тестированию (решения видеонаблюдения/CCTV), Netris,"Участие в разработке тест-планов и сценариев тестирования. Участие в разработке автотестов (Bash/Python, Selenium, Apache JMeter, etc). ","...скриптовых языков (Вash, Python). Будет плюсом опыт работы с SoapUI (включая написание автотестов) и опыт работы с Python Selenium Webdriver. ",Не указано,https://hh.ru/vacancy/31258224?query=python
"DevOps Engineer (г. Таллин, Эстония)", Linn Systems OÜ,"Разработка системы, которая используется тысячами компаний по всему миру. Работа в Infrastructure команде вместе с высококлассными специалистами. Участие в различных...","Знание одного из scripting языков (например: Bash, Python, PowerShell). Орошие знания AWS, включая автоматизацию инфраструктуры через Terraform и Ansible. ",Не указано,https://hh.ru/vacancy/30910516?query=python
