Вакансия,Компания,Обязанности,Требования,Зар. плата,URL
Python-Разработчик/Python Developer, BestDoctor,Backend-разработка внутренних продуктов. Участие в формировании технической стратегии BestDoctor и ее реализация. Проведение code review. Покрытие кодовой базы тестами.,"Опыт web-разработки на Python не менее 2 лет. Опыт работы с Django от года. Хорошее знание Git, PostgreSQL. ",120 000-150 000 руб.,https://hh.ru/vacancy/31101537?query=python
Fullstack разработчик (Python/Django),ПАО МТС,Иногда заним ается версткой (но не сильно часто).,"Работает с серверными языками программирования (работает на Python-Django/Flask, но знаком и с другими языками, например nodejs/java/php/...). ",80 000-140 000 руб.,https://hh.ru/vacancy/29942255?query=python
Middle / Senior Python Developer, ecomsolutions,Разработка проектов различной сложности в команде разработчиков (удаленная работа).,"Middle / Senior Level. Опыт коммерческой разработки от 5-ти лет. Python 3.x. Django, Flask. Django-rest-framework. ",3 000-5 000 USD,https://hh.ru/vacancy/31008119?query=python
Старший Python-Разработчик/Senior Python Developer, BestDoctor,Разработка backend-составляющей нового продукта. Интеграция продукта в существующую систему. Участие в формировании технической стратегии BestDoctor и ее реализация. ,Опыт web-разработки на Python не менее 3 лет. Опыт работы с Django от двух лет. Хорошее знание Django ORM. ,170 000-230 000 руб.,https://hh.ru/vacancy/31101513?query=python
Разработчик Python Backend, Web Interactive World,"Сбор данных, разработка архитектуры их хранения, представление их удобном для анализа виде. Построение архитектуры решения, написание ключевых блоков кода проекта. ","Отличное знание Python 3.6 (ООП). Опыт работы с веб-фреймворками Django, Celery. Владение многопоточным multiprocessing и асинхронными подходами asyncio...",от 150 000 руб.,https://hh.ru/vacancy/31028300?query=python
Разработчик Python/Django + React.js, Ivelum,,"Помимо способностей к программированию, мы ждем от вас аналитических и коммуникативных навыков. Многие задачи будут требовать исследовательской работы, проектирования и...",130 000-180 000 руб.,https://hh.ru/vacancy/29765778?query=python
Разработчик Python (Junior), МФТИ ГУ,"разработка, рефакторинг и документирование компонентов ядра библиотеки с открытым кодом DeepPavlov.","знание Python 3 и стандартной библиотеки. - базовые знания алгоритмов и структур данных. - желание писать код, который не стыдно выкладывать в...",100 000-130 000 руб.,https://hh.ru/vacancy/31098891?query=python
Разработчик Python, ГК «ХайТэк»,Разработка и тестирование модулей Python для поддержки запуска нейронных сетей на тензорном процессоре. Участие в тестировании разработанных модулей микропроцессора. ,Опыт промышленной разработки на Python. Мы используем Python 3. Знание и умение применять на практике системы тестирования кода. ,Не указано,https://hh.ru/vacancy/31243194?query=python
Разработчик Python, Group-IB,Back-end разработка сервисов компании. Проектирование и реализация API разрабатываемых систем. Документирование/тестирование написанного кода. Сопровождение и доработка существующего кода.,"Опыт коммерческой разработки на Python от двух лет, понимание концепций языка и Python way. Понимание принципов разработки высоконагруженных систем. ",Не указано,https://hh.ru/vacancy/26996548?query=python
Разработчик Python, Робокасса,Разработка приложений. Умение профилировать и оптимизировать свой код. Написание unit-тестов с применением PyTest. Поддержка и рефакторинг проектов.,"Опыт работы с Python от 2 лет. Опыт работы с одним из следующих фреймворков: Flask, Django, Sanic, Pyramid. ",Не указано,https://hh.ru/vacancy/30805593?query=python
Разработчик Python," Ренессанс Кредит, Москва",Реализация проекта системы управления инфраструктурой на Python. Автоматизация процессов управления инфраструктурой с помощью Ansible. Участие в процессах автоматизации тестирования проекта. ,"Опыт разработки на Python. Опыт разработки и тестирования сценариев Ansible. Опыт работы с Docker, Docker Compose. Опыт работы с PostgreSQL. ",Не указано,https://hh.ru/vacancy/30673843?query=python
Back-End Web Developer (Python), Soshace,,Do you have more than 3-year commercial experience in web development on projects with Python? Can you provide a...,200 000-300 000 руб.,https://hh.ru/vacancy/30562687?query=python
Программист (Python/C++), Группа компаний «Триумф»,Разработка алгоритмов поведения ткани. Программирование прикладных систем для проектирования и визуализации одежды. Разработка компонентов для визуального построения чертежей. ,"Знание Python и C++. Знание основ компьютерной графики и математического моделирования. Умение разбираться в существующем коде. Английский, достаточный для чтения...",Не указано,https://hh.ru/vacancy/26680990?query=python
Разработчик Python/Go, Веб Контроль,"Разработка сервисов поиска контента в Интернете. Интеграция с существующими программными продуктами, их развитие и поддержка. Планирование и оценка задач.",Высшее техническое образование. Отличное знание и опыт разработки на Python и/или Go. Опыт работы с очередями сообщений (RabbitMQ). ,Не указано,https://hh.ru/vacancy/30559505?query=python
Веб-разработчик (Python/Django),АО Российские космические системы,Позиция открыта в компании АО «ТЕРРА ТЕХ» - дочернем предприятии АО «Российские космические системы». Основное направление деятельности компании – разработка геоинформационных решений...,Требования: Хорошие знания Python 2 и 3. Опыт разработки крупных проектов с использованием Django (DRF/REST API). Понимание объектно-ориентированного...,Не указано,https://hh.ru/vacancy/27377394?query=python
Python developer (игровые проекты компании), Дестени Продакшн,"Участие в развитии игровых проектов компании: TERA, Zula, Imperial Hero. Разработка системы аналитики и статистики. Доработка и поддержка сайтов компании...",Опыт разработки на Python от 3-х лет. Уверенное знание Django/Flask. Знание принципов работы баз данных и опыт работы...,до 160 000 руб.,https://hh.ru/vacancy/30717130?query=python
Программист Python/C++,ООО Центр инженерной физики МГУ,,Знание языка Python 3.4+ на среднем уровне. Знание языка С/С++03/С++11 на среднем уровне. ,70 000-100 000 руб.,https://hh.ru/vacancy/31257898?query=python
Разработчик Python (back-end), Леруа Мерлен. Гипермаркеты,"Back-end разработка сервисов компании. Проектирование и реализация API разрабатываемых систем (интернет-магазин, B2B портал, мобильные приложения). ","Промышленной разработки. Знание ORM (SQLAlchemy), CI/CD, Docker, PostgreSQL. Уверенная работа с GIT/GitFlow. Умение разбираться в чужом коде. ",Не указано,https://hh.ru/vacancy/30666848?query=python
Разработчик Python (Middle), МФТИ ГУ,"разработка, рефакторинг и документирование компонентов ядра библиотеки с открытым кодом DeepPavlov. - работа с исследователями по добавлению новых и рефакторингу существующих...",хорошее знание Python 3 и стандартной библиотеки. - базовые знания алгоритмов и структур данных. - умение профилировать и оптимизировать свой код. - ,130 000-165 000 руб.,https://hh.ru/vacancy/31098798?query=python
Python разработчик ( Backend Software Engineer),ООО PERX,Разработка новых проектов и поддержка существующих проектов компании: Облачная контентная система – кольцо дилерских сайтов. Платформа для автопроизводителей по учету автомобилей...,Хорошее знание команд Linux. Опыт работы на Python от 2-х лет. Хорошее знание базовых библиотек. Опыт работы с одним...,80 000-120 000 руб.,https://hh.ru/vacancy/31259497?query=python
"Веб-программист Python/Django, full-stack", Синтезис,Разработка и поддержка интернет-проектов. Написание тестов на уже имеющийся код.,Опыт программирования на Python не менее 2 лет. Опыт разработки на Django от одного года. Крайне желателен опыт работы с...,от 80 000 руб.,https://hh.ru/vacancy/30823258?query=python
Разработчик Python/ Django,ООО Т8,Разработка back-end'а клиентского интерфейса системы управления.,Уверенное знание Django. - Опыт промышленной разработки на Python от двух лет. - Опыт работы с базами данных. - Знание сетевых протоколов HTTP...,Не указано,https://hh.ru/vacancy/30755695?query=python
Full-stack разработчик Django / Python,ООО Смартекс,"Смартекс разрабатывает программные решения для информационной инфраструктуры компаний, автоматизации сложных бизнес-задач и процессов. Окружение разработчика: Docker, Vagrant. ",У вас есть средние знания CSS / JavaScript на уровне простой верстки и jQuery. Вы умеете работать удаленно и при этом...,Не указано,https://hh.ru/vacancy/30963998?query=python
QA Automation Engineer (Python), NetworkOptix,"Продукт — система видеонаблюдения NX Witness — кроссплатформенный коробочный продукт, работающий распределенно в сетях. Тесты — Python-проект для работы с виртуальными машинами...","Понимание HTTP, навыки работы с HTTP API из Python и командной строки (wget, curl, httpie, jq). Знания Jenkins (Jenkins job...",от 3 500 USD,https://hh.ru/vacancy/31157979?query=python
Junior Python разработчик, amoCRM,"Задачи, над которыми мы работаем, сильно различаются и по мере экспертного роста усложняются: от багов и простых задач до разработки...","Потребуется: Знание Python (есть практический опыт и результаты, не обязательно коммерческие). Знание фреймворка Django. Опыт написания SQL запросов (желательно умение...",от 30 000 руб.,https://hh.ru/vacancy/31232642?query=python
Разработчик Python/Django - удалённая работа,ООО Колл-Тулз,Разработка клиентского функционала (в основном). Разработка back-end части.,"Опыт разработки на Python. Базовые знания Linux. Понимание, как писать оптимальные запросы к БД. JQuery. Желание учиться и развиваться. ",от 100 000 руб.,https://hh.ru/vacancy/31052168?query=python
Senior Web разработчик (Python),ООО НТ Прогресс,"Проектирование и разработка Web портала в agile команде. Участие в полном цикле разработки - аналитика, программирование, тестирование.","Отличные знания Web технологий: HTML5, CSS/SASS, JavaScript, ReactJS. Хорошие знания Python и опыт работы с Django. ",Не указано,https://hh.ru/vacancy/30945819?query=python
